Number of Components,Explained Variance Ratio
1,0.2095182180793582
2,0.3541956130193011
3,0.4533034490750783
4,0.5454573259716122
5,0.6154350005102549
6,0.6625342310348376
7,0.7050057717635689
8,0.7341523590414424
9,0.7612332063835539
10,0.7851368340331604
11,0.8068156692248835
12,0.8270107145340287
13,0.8468180097188459
14,0.8648719866984612
15,0.881876503213322
16,0.897699541326453
17,0.9101955793478339
18,0.9221403174694316
19,0.9332474638071215
20,0.9429460134471309
21,0.952058869372645
22,0.9607541165850927
23,0.9673763820667991
24,0.9736721707510766
25,0.9790694268680892
26,0.983718995687344
27,0.9866446180990903
28,0.9884209528139817
29,0.9901708701534573
30,0.9917033101980307
31,0.9930058126881312
32,0.9940873947351961
33,0.9950897429454687
34,0.995999023507352
35,0.9966751092637023
36,0.9973244120147796
37,0.9979382312323886
38,0.9984028405064868
39,0.9988365788684719
40,0.9992411074986566
41,0.9994292274731837
42,0.9995724884897216
43,0.9997129562464495
44,0.9998190880124194
45,0.9998706029226
46,0.9999100892955873
47,0.9999405899498776
48,0.9999681252738343
49,0.999990503909515
50,1.0000000000000004
